OPE ID,School,State,Zip Code,School Type,Recipients Q1,Loans Originated Q1,Loan Amount Q1 (USD),Disbursements Q1,Disbursement Amount Q1 (USD),Recipients Q2,Loans Originated Q2,Loan Amount Q2 (USD),Disbursements Q2,Disbursement Amount Q2 (USD),Recipients Q3,Loans Originated Q3,Loan Amount Q3 (USD),Disbursements Q3,Disbursement Amount Q3 (USD),Recipients Q4,Loans Originated Q4,Loan Amount Q4 (USD),Disbursements Q4,Disbursement Amount Q4 (USD)
102400,UNIVERSITY OF WEST ALABAMA,AL,354700000,PUBLIC,"2,839","2,852"," $1,78,72,533.00 ","2,853"," $61,58,482.00 ","3,070","3,199"," $2,19,10,289.00 ","3,200"," $73,11,392.00 ",43,43," $2,53,207.00 ",43," $1,26,908.00 ", -   , -   , $-   ,0, $-   
102600,MARION MILITARY INSTITUTE,AL,367563214,PUBLIC,126,129," $3,67,434.00 ",136," $1,93,790.00 ",154,167," $5,55,651.00 ",170," $2,87,135.00 ",11,11," $62,327.00 ",12," $37,342.00 ", -   , -   , $-   ,0, $-   
102900,UNIVERSITY OF MOBILE,AL,366630220,PRIVATE,883,883," $41,53,866.00 ",897," $21,17,791.00 ",964,964," $54,83,159.00 ",991," $28,04,070.00 ",71,73," $6,24,226.00 ",76," $3,20,080.00 ",1,1," $16,236.00 ",1," $8,118.00 "
103100,NORTHEAST ALABAMA COMMUNITY COLLEGE,AL,359860159,PUBLIC,305,307," $9,07,719.00 ",307," $4,61,224.00 ",81,81," $2,21,426.00 ",81," $1,10,717.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
103300,OAKWOOD UNIVERSITY,AL,358960001,PRIVATE,440,444," $20,44,384.00 ",446," $10,52,221.00 ",306,308," $19,42,779.00 ",309," $10,08,530.00 ",58,59," $7,75,105.00 ",60," $4,20,982.00 ", -   , -   , $-   ,0, $-   
103600,SAMFORD UNIVERSITY,AL,352297000,PRIVATE,"1,689","1,712"," $1,08,65,654.00 ","1,712"," $56,63,095.00 ","1,791","1,855"," $1,72,39,110.00 ","1,855"," $87,97,985.00 ",435,445," $63,60,638.00 ",446," $32,51,935.00 ",558,593," $1,03,94,943.00 ",595," $52,52,933.00 "
104000,SOUTHERN UNION STATE COMMUNITY COLLEGE,AL,362760000,PUBLIC,631,635," $18,77,068.00 ",772," $10,51,910.00 ",462,466," $12,71,079.00 ",568," $6,99,645.00 ",12,12," $64,100.00 ",13," $34,150.00 ", -   , -   , $-   ,0, $-   
104100,SPRING HILL COLLEGE,AL,366081791,PRIVATE,638,641," $29,18,506.00 ",641," $13,84,521.00 ",739,776," $33,78,632.00 ",776," $15,63,012.00 ",85,85," $8,67,454.00 ",85," $4,51,303.00 ", -   , -   , $-   ,0, $-   
104400,STILLMAN COLLEGE,AL,354031430,PRIVATE,345,352," $14,48,239.00 ",352," $7,27,519.00 ",345,375," $15,39,969.00 ",376," $7,75,072.00 ",111,114," $9,35,640.00 ",115," $4,76,950.00 ", -   , -   , $-   ,0, $-   
104700,TROY UNIVERSITY,AL,360820001,PUBLIC,"11,870","12,000"," $6,05,01,982.00 ","12,000"," $2,40,70,162.00 ","11,434","11,842"," $8,18,72,914.00 ","11,845"," $3,19,49,741.00 ",158,159," $12,64,392.00 ",159," $6,39,458.00 ",14,14," $1,29,956.00 ",14," $49,315.00 "
105000,TUSKEGEE UNIVERSITY,AL,360881645,PRIVATE,"1,563","1,584"," $77,28,091.00 ","1,587"," $39,03,789.00 ","1,457","1,884"," $1,20,10,608.00 ","1,887"," $60,22,581.00 ",321,366," $45,52,828.00 ",366," $22,80,710.00 ",58,62," $6,72,069.00 ",62," $3,38,330.00 "
105700,UNIVERSITY OF SOUTH ALABAMA,AL,366880002,PUBLIC,"4,931","4,998"," $2,36,08,974.00 ","5,000"," $1,21,31,965.00 ","5,726","5,982"," $3,69,51,491.00 ","5,982"," $1,88,52,971.00 ",326,331," $27,85,505.00 ",331," $14,27,954.00 ",76,77," $6,04,139.00 ",77," $2,45,301.00 "
106000,JAMES H. FAULKNER STATE COMMUNITY COLLEGE,AL,365072698,PUBLIC,730,731," $22,31,679.00 ",735," $11,25,076.00 ",515,522," $19,22,705.00 ",526," $9,73,939.00 ",19,19," $94,021.00 ",19," $47,011.00 ", -   , -   , $-   ,0, $-   
569700,NORTHWEST - SHOALS COMMUNITY COLLEGE,AL,356623206,PUBLIC,650,650," $20,72,119.00 ",695," $10,80,163.00 ",502,507," $14,55,570.00 ",547," $7,43,903.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
787100,GEORGE C. WALLACE STATE COMMUNITY COLLEGE,AL,350772000,PUBLIC,"1,608","1,611"," $55,49,555.00 ","1,611"," $27,89,976.00 ","1,248","1,249"," $43,67,153.00 ","1,249"," $21,91,044.00 ",10,10," $56,760.00 ",10," $28,380.00 ", -   , -   , $-   ,0, $-   
831000,AUBURN UNIVERSITY MONTGOMERY,AL,361173596,PUBLIC,"2,154","2,181"," $97,48,933.00 ","2,181"," $49,40,939.00 ","2,108","2,190"," $1,17,95,200.00 ","2,190"," $59,45,929.00 ",51,53," $4,62,011.00 ",53," $2,31,446.00 ",2,2," $29,030.00 ",2," $14,515.00 "
1019300,HERZING UNIVERSITY,AL,352094816,PROPRIETARY, -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   ,1,1," $3,735.00 ",1," $3,735.00 ", -   , -   , $-   ,0, $-   
1055400,CONCORDIA COLLEGE,AL,367013323,PRIVATE,396,396," $15,89,214.00 ",397," $7,95,858.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2170600,UNITED STATES SPORTS ACADEMY,AL,365267055,PRIVATE,86,88," $4,86,988.00 ",90," $2,63,058.00 ",70,73," $4,62,695.00 ",75," $2,46,786.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2199700,HERITAGE CHRISTIAN UNIVERSITY,AL,356306245,PRIVATE,38,38," $85,768.00 ",38," $43,172.00 ",35,35," $94,067.00 ",35," $50,050.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2270400,SOUTHEASTERN BIBLE COLLEGE,AL,352442083,PRIVATE,123,124," $4,95,343.00 ",127," $2,59,886.00 ",127,137," $7,17,161.00 ",140," $3,74,885.00 ",3,3," $34,500.00 ",3," $17,250.00 ", -   , -   , $-   ,0, $-   
2296000,PRINCE INSTITUTE OF PROFESSIONAL STUDIES,AL,361174231,PROPRIETARY,40,40," $1,46,273.00 ",40," $51,158.00 ",35,38," $1,24,082.00 ",43," $47,241.00 ",3,3," $11,500.00 ",3," $3,836.00 ", -   , -   , $-   ,0, $-   
2503400,AMRIDGE UNIVERSITY,AL,361173553,PRIVATE,500,500," $30,33,847.00 ",504," $12,31,127.00 ",515,515," $44,27,905.00 ",526," $18,09,410.00 ", -   , -   , $-   ,0, $-   ,25,26," $4,01,524.00 ",28," $1,51,166.00 "
2605500,REMINGTON COLLEGE - MOBILE CAMPUS,AL,366095593,PRIVATE,739,740," $25,66,117.00 ",747," $12,03,333.00 ",710,"1,284"," $34,48,418.00 ","1,289"," $16,12,345.00 ",22,22," $1,48,580.00 ",22," $71,363.00 ", -   , -   , $-   ,0, $-   
3010600,VIRGINIA COLLEGE,AL,352095154,PROPRIETARY,10,10," $33,886.00 ",10," $15,128.00 ",10,10," $43,393.00 ",10," $21,513.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
3783300,BLUE CLIFF CAREER COLLEGE,AL,366064749,PROPRIETARY,3,3," $10,500.00 ",3," $5,250.00 ",2,2," $11,500.00 ",2," $5,750.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
4067300,SELMA UNIVERSITY,AL,367015232,PRIVATE,72,72," $2,07,850.00 ",73," $1,04,250.00 ",9,9," $18,000.00 ",9," $9,000.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
4121500,COLUMBIA SOUTHERN UNIVERSITY,AL,365613815,PROPRIETARY,755,761," $34,40,918.00 ","1,009"," $11,93,408.00 ",862,874," $49,41,732.00 ","1,148"," $16,98,628.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
108500,UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,716560000,PUBLIC,"1,236","1,272"," $47,56,316.00 ","1,309"," $24,79,161.00 ","1,152","1,222"," $44,19,350.00 ","1,264"," $23,17,798.00 ",10,10," $46,762.00 ",10," $26,551.00 ", -   , -   , $-   ,0, $-   
108600,UNIVERSITY OF ARKANSAS AT PINE BLUFF,AR,716012790,PUBLIC,"1,136","1,201"," $48,71,502.00 ","1,251"," $25,30,332.00 ",870,"1,177"," $31,95,717.00 ","1,238"," $16,62,559.00 ",12,12," $79,799.00 ",12," $42,172.00 ", -   , -   , $-   ,0, $-   
108800,LYON COLLEGE,AR,725013699,PRIVATE,216,217," $9,04,852.00 ",218," $4,63,141.00 ",224,265," $9,70,726.00 ",265," $4,95,559.00 ",56,57," $5,21,366.00 ",57," $2,60,433.00 ", -   , -   , $-   ,0, $-   
108900,ARKANSAS TECH UNIVERSITY,AR,728012222,PUBLIC,"2,913","3,052"," $1,14,05,663.00 ","3,149"," $58,06,589.00 ","2,585","2,779"," $1,19,33,508.00 ","2,856"," $60,37,253.00 ",122,125," $7,58,783.00 ",126," $3,80,718.00 ", -   , -   , $-   ,0, $-   
109000,ARKANSAS STATE UNIVERSITY,AR,724010000,PUBLIC,"5,673","5,801"," $2,64,54,321.00 ","5,818"," $1,39,80,588.00 ","5,267","5,639"," $2,98,71,943.00 ","5,654"," $1,57,65,623.00 ",130,132," $8,02,297.00 ",132," $4,51,881.00 ",43,44," $5,72,750.00 ",45," $2,93,390.00 "
109100,ARKANSAS STATE UNIVERSITY - BEEBE,AR,720121000,PUBLIC,452,463," $16,35,093.00 ",479," $8,35,627.00 ",306,313," $11,61,462.00 ",325," $5,83,231.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
109200,UNIVERSITY OF CENTRAL ARKANSAS,AR,720350001,PUBLIC,"4,025","4,169"," $1,87,72,378.00 ","4,169"," $98,10,638.00 ","3,958","4,502"," $2,05,16,740.00 ","4,502"," $1,07,31,090.00 ",419,431," $31,55,749.00 ",431," $16,62,261.00 ",5,5," $12,767.00 ",5," $7,986.00 "
109300,CENTRAL BAPTIST COLLEGE,AR,720346470,PRIVATE,111,111," $4,78,967.00 ",113," $2,53,475.00 ",112,112," $4,72,448.00 ",114," $2,43,500.00 ",22,22," $1,47,500.00 ",23," $76,275.00 ", -   , -   , $-   ,0, $-   
109400,UNIVERSITY OF THE OZARKS,AR,728302880,PRIVATE,155,156," $6,47,878.00 ",157," $3,24,076.00 ",154,161," $5,80,026.00 ",162," $2,91,194.00 ",16,16," $2,68,200.00 ",16," $1,50,581.00 ", -   , -   , $-   ,0, $-   
109500,CROWLEY'S RIDGE COLLEGE,AR,724509775,PRIVATE,72,72," $2,83,485.00 ",72," $1,41,245.00 ",63,65," $2,53,698.00 ",65," $1,25,772.00 ",3,3," $12,704.00 ",3," $6,352.00 ", -   , -   , $-   ,0, $-   
109700,HARDING UNIVERSITY,AR,721490001,PRIVATE,"1,839","1,874"," $74,30,350.00 ","1,880"," $48,36,283.00 ","2,097","2,188"," $92,68,607.00 ","2,197"," $58,82,219.00 ",333,356," $34,06,832.00 ",363," $18,11,004.00 ",49,50," $3,26,900.00 ",50," $3,20,828.00 "
109800,HENDERSON STATE UNIVERSITY,AR,719990001,PUBLIC,"1,386","1,477"," $59,90,565.00 ","1,482"," $39,59,609.00 ","1,175","1,282"," $51,14,271.00 ","1,283"," $30,70,389.00 ",53,53," $4,06,205.00 ",54," $2,28,729.00 ",1,1," $2,065.00 ",1," $2,065.00 "
109900,HENDRIX COLLEGE,AR,720323080,PRIVATE,497,500," $22,48,507.00 ",500," $11,34,861.00 ",370,457," $15,45,067.00 ",457," $7,83,226.00 ",312,320," $46,07,367.00 ",323," $23,18,659.00 ",1,1," $8,000.00 ",1," $4,000.00 "
110000,JOHN BROWN UNIVERSITY,AR,727612747,PRIVATE,361,366," $18,56,352.00 ",368," $9,59,283.00 ",336,340," $17,81,779.00 ",341," $9,08,302.00 ",42,42," $2,87,973.00 ",42," $1,47,509.00 ",1,1," $10,000.00 ",1," $5,000.00 "
110100,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,AR,722041099,PUBLIC,"4,686","4,788"," $2,31,87,910.00 ","4,789"," $1,19,09,231.00 ","4,382","4,695"," $2,72,45,995.00 ","4,695"," $1,39,94,695.00 ",41,44," $2,70,763.00 ",44," $1,46,376.00 ",127,132," $4,05,851.00 ",133," $2,29,369.00 "
110200,OUACHITA BAPTIST UNIVERSITY,AR,719980001,PRIVATE,312,312," $11,91,024.00 ",312," $6,12,284.00 ",422,435," $17,70,152.00 ",437," $8,84,913.00 ",119,124," $11,02,553.00 ",127," $5,55,102.00 ", -   , -   , $-   ,0, $-   
110300,PHILANDER SMITH COLLEGE,AR,722023718,PRIVATE,401,403," $16,71,218.00 ",403," $8,52,734.00 ",413,461," $22,82,210.00 ",464," $11,60,656.00 ",31,32," $2,83,976.00 ",33," $1,42,704.00 ", -   , -   , $-   ,0, $-   
110700,SOUTHERN ARKANSAS UNIVERSITY,AR,717535000,PUBLIC,977,"1,039"," $42,88,594.00 ","1,076"," $22,01,637.00 ",799,898," $37,30,516.00 ",944," $19,24,048.00 ",9,10," $43,650.00 ",11," $24,675.00 ", -   , -   , $-   ,0, $-   
110800,UNIVERSITY OF ARKANSAS,AR,727010000,PUBLIC,"4,854","4,899"," $2,53,21,678.00 ","4,899"," $1,31,66,061.00 ","5,591","5,783"," $3,24,99,787.00 ","5,783"," $1,67,80,362.00 ",495,504," $48,92,427.00 ",504," $25,53,465.00 ",47,52," $2,60,731.00 ",52," $1,55,051.00 "
110900,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,722057102,PUBLIC,"1,404","1,407"," $1,02,13,103.00 ","1,415"," $49,98,989.00 ","1,322","1,367"," $2,11,76,255.00 ","1,383"," $1,04,89,615.00 ",37,37," $2,35,855.00 ",37," $1,16,288.00 ",86,90," $6,50,317.00 ",91," $2,83,422.00 "
524500,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON,AR,721109601,PUBLIC,301,307," $9,07,316.00 ",309," $4,63,053.00 ",256,270," $8,44,212.00 ",272," $4,25,817.00 ",2,2," $8,000.00 ",2," $4,000.00 ", -   , -   , $-   ,0, $-   
570700,SOUTHEAST ARKANSAS COLLEGE,AR,716033900,PUBLIC,347,351," $11,47,776.00 ",353," $5,85,339.00 ",93,96," $2,40,023.00 ",97," $1,25,489.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
773800,SOUTHERN ARKANSAS UNIVERSITY TECH,AR,717011900,PUBLIC,178,179," $5,71,797.00 ",180," $2,96,411.00 ",164,169," $4,81,010.00 ",170," $2,43,834.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
997600,COLLEGE OF THE OUACHITAS,AR,721040816,PUBLIC,152,155," $4,29,885.00 ",156," $2,17,491.00 ",76,78," $2,12,320.00 ",78," $1,06,832.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
1210500,NATIONAL PARK COMMUNITY COLLEGE,AR,719139174,PUBLIC,669,682," $25,88,041.00 ",689," $13,12,493.00 ",535,540," $25,07,392.00 ",541," $12,64,198.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
1226100,NORTH ARKANSAS COLLEGE,AR,726015508,PUBLIC,503,503," $18,91,852.00 ",503," $9,49,474.00 ",413,413," $21,20,042.00 ",413," $10,54,727.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
1286000,ARKANSAS NORTHEASTERN COLLEGE,AR,723161109,PUBLIC,127,127," $4,69,329.00 ",127," $2,35,165.00 ",109,109," $5,80,952.00 ",111," $2,89,515.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2052200,BLACK RIVER TECHNICAL COLLEGE,AR,724550468,PUBLIC,648,662," $19,65,082.00 ",669," $9,98,305.00 ",356,372," $8,38,879.00 ",384," $4,20,357.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2073500,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE,AR,725030000,PUBLIC,504,509," $18,79,366.00 ",513," $9,70,795.00 ",378,386," $17,18,379.00 ",391," $8,74,593.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2074600,SOUTH ARKANSAS COMMUNITY COLLEGE,AR,717317010,PUBLIC,301,306," $9,61,949.00 ",306," $4,83,095.00 ",180,189," $6,51,353.00 ",189," $3,24,440.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2075300,PULASKI TECHNICAL COLLEGE,AR,721183347,PUBLIC,"4,847","4,879"," $1,77,47,342.00 ","4,896"," $90,17,360.00 ","4,545","4,565"," $2,49,04,143.00 ","4,591"," $1,25,93,710.00 ",5,5," $37,064.00 ",5," $18,532.00 ", -   , -   , $-   ,0, $-   
2087000,OZARKA COLLEGE,AR,725560010,PUBLIC,452,481," $14,59,188.00 ",512," $4,74,811.00 ",389,416," $16,84,172.00 ",443," $5,18,781.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2272400,EASTERN COLLEGE OF HEALTH VOCATIONS,AR,722053535,PROPRIETARY,57,57," $1,71,212.00 ",57," $87,565.00 ",21,21," $50,779.00 ",21," $26,744.00 ",1,1," $2,673.00 ",1," $1,337.00 ", -   , -   , $-   ,0, $-   
2330800,JRMC SCHOOL OF NURSING,AR,716036301,PRIVATE,38,38," $1,32,300.00 ",63," $1,06,650.00 ",39,39," $1,23,550.00 ",66," $1,00,750.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2538500,ARTHUR'S BEAUTY COLLEGE,AR,720761819,PROPRIETARY,3,3," $2,275.00 ",3," $1,307.00 ",1,1, $311.00 ,1, $311.00 , -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
2569600,SEARCY BEAUTY COLLEGE,AR,721430000,PROPRIETARY,9,9," $23,470.00 ",11," $13,930.00 ",7,7," $13,766.00 ",9," $9,446.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
3023400,ARKANSAS COLLEGE OF BARBERING & HAIR DESIGN,AR,721145615,PROPRIETARY,28,29," $88,504.00 ",29," $44,253.00 ",27,27," $91,091.00 ",27," $45,549.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
3063300,NORTHWEST ARKANSAS COMMUNITY COLLEGE,AR,727125190,PUBLIC,"1,368","1,373"," $50,65,731.00 ","1,373"," $25,62,821.00 ","1,330","1,336"," $72,04,375.00 ","1,336"," $36,33,531.00 ",7,7," $45,584.00 ",7," $22,792.00 ", -   , -   , $-   ,0, $-   
3105200,BAPTIST HEALTH SCHOOLS LITTLE ROCK,AR,722102820,PRIVATE,536,537," $20,00,659.00 ",703," $12,86,482.00 ",520,522," $21,68,475.00 ",669," $12,11,008.00 ",8,8," $47,700.00 ",11," $32,200.00 ", -   , -   , $-   ,0, $-   
3855300,ECCLESIA COLLEGE,AR,727628159,PRIVATE,14,14," $56,283.00 ",14," $28,142.00 ",8,8," $31,217.00 ",8," $15,609.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
107000,THUNDERBIRD SCHOOL OF GLOBAL MANAGEMENT,AZ,853066000,PRIVATE,298,299," $24,17,996.00 ",299," $24,01,893.00 ",303,306," $32,31,802.00 ",306," $31,65,244.00 ", -   , -   , $-   ,0, $-   ,142,142," $16,53,651.00 ",143," $12,34,433.00 "
107100,ARIZONA WESTERN COLLEGE,AZ,853658847,PUBLIC,512,513," $16,85,728.00 ",559," $9,19,907.00 ",251,254," $7,76,648.00 ",278," $4,22,728.00 ",4,4," $30,000.00 ",5," $18,000.00 ", -   , -   , $-   ,0, $-   
107200,COCHISE COLLEGE,AZ,856076190,PUBLIC,316,317," $11,41,297.00 ",320," $5,78,609.00 ",114,116," $4,03,204.00 ",117," $2,04,516.00 ",1,1," $10,613.00 ",1," $5,307.00 ", -   , -   , $-   ,0, $-   
107400,GRAND CANYON UNIVERSITY,AZ,850173030,PROPRIETARY,"8,007","8,094"," $4,21,16,651.00 ","8,094"," $1,80,64,078.00 ","9,095","9,264"," $7,28,70,253.00 ","9,265"," $3,04,87,786.00 ",72,74," $7,76,736.00 ",74," $4,07,531.00 ",4,4," $30,887.00 ",4," $14,877.00 "
107600,GLENDALE COMMUNITY COLLEGE,AZ,853023090,PUBLIC,"1,179","1,198"," $41,82,993.00 ","1,203"," $21,57,448.00 ",245,253," $11,84,662.00 ",258," $6,15,160.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
107700,MESA COMMUNITY COLLEGE,AZ,852024866,PUBLIC,"3,417","3,476"," $1,19,35,503.00 ","3,542"," $63,64,575.00 ","1,630","1,722"," $73,27,961.00 ","1,782"," $39,39,285.00 ",19,19," $1,66,537.00 ",19," $83,720.00 ", -   , -   , $-   ,0, $-   
107800,PHOENIX COLLEGE,AZ,850134234,PUBLIC,"1,319","1,330"," $46,27,480.00 ","1,337"," $23,75,880.00 ","1,021","1,089"," $47,28,307.00 ","1,092"," $24,18,969.00 ",2,2," $17,026.00 ",2," $8,513.00 ", -   , -   , $-   ,0, $-   
107900,YAVAPAI COLLEGE,AZ,863013297,PUBLIC,298,301," $9,36,991.00 ",302," $4,77,336.00 ",280,286," $10,77,756.00 ",286," $5,41,753.00 ", -   , -   , $-   ,0, $-   , -   , -   , $-   ,0, $-   
108300,UNIVERSITY OF ARIZONA (THE),AZ,857210066,PUBLIC,"9,458","9,624"," $5,01,16,849.00 ","9,717"," $2,60,36,623.00 ","8,859","9,442"," $6,44,99,184.00 ","9,499"," $3,32,10,103.00 ","1,626","1,679"," $2,54,73,090.00 ","1,689"," $1,29,65,747.00 ",373,401," $60,34,912.00 ",401," $30,77,534.00 "
